Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Date_local,event_date,material_or_label,ticker,stock_return_1d,stock_vol_20d,fwd_cum_return
2022-01-13 05:00:00+00:00,46.11294836,46.47084243,45.97529973,46.18177414,5830209,0,0,2022-01-13 00:00:00-05:00,2022-01-13,니켈,BHP,-0.000744761,0.015049001,-0.018366406
2022-01-14 05:00:00+00:00,45.59676151,46.27125128,45.48664025,46.09230423,6030195,0,0,2022-01-14 00:00:00-05:00,2022-01-14,니켈,BHP,-0.001937342,0.015164963,-0.004364166
2022-01-18 05:00:00+00:00,46.02347851,46.48460981,45.47975921,45.73441315,7000869,0,0,2022-01-18 00:00:00-05:00,2022-01-18,니켈,BHP,-0.00776466,0.015362691,-0.000438194
2022-01-19 05:00:00+00:00,46.66355647,47.34492739,46.56031926,47.13156891,5057616,0,0,2022-01-19 00:00:00-05:00,2022-01-19,니켈,BHP,0.030549332,0.016135209,0.016610303
2022-01-20 05:00:00+00:00,47.13845611,47.87488476,46.74615055,46.82185745,9697211,0,0,2022-01-20 00:00:00-05:00,2022-01-20,니켈,BHP,-0.00657121,0.015919306,0.060489445
2022-01-21 05:00:00+00:00,45.22510916,45.48664423,44.70203608,44.71580124,10684251,0,0,2022-01-21 00:00:00-05:00,2022-01-21,니켈,BHP,-0.044980194,0.019474899,0.082494969
2022-01-24 05:00:00+00:00,43.51823528,44.48179036,42.82309929,44.46802521,8935491,0,0,2022-01-24 00:00:00-05:00,2022-01-24,니켈,BHP,-0.005541129,0.019542813,0.078741421
2022-01-25 05:00:00+00:00,43.87612788,44.38543575,43.2635828,43.96560287,8501440,0,0,2022-01-25 00:00:00-05:00,2022-01-25,니켈,BHP,-0.011298508,0.019826921,0.058787118
2022-01-26 05:00:00+00:00,44.33037049,45.0461527,44.05507032,44.37166595,7639055,0,0,2022-01-26 00:00:00-05:00,2022-01-26,니켈,BHP,0.009235927,0.019580705,0.026139921
2022-01-27 05:00:00+00:00,44.71579494,45.48663782,44.66761836,45.28704453,11393059,0,0,2022-01-27 00:00:00-05:00,2022-01-27,니켈,BHP,0.020629799,0.019892547,0.071061466
2022-01-28 05:00:00+00:00,44.42672283,44.4955486,43.51134741,44.16518784,13538429,0,0,2022-01-28 00:00:00-05:00,2022-01-28,니켈,BHP,-0.024772133,0.020946263,0.067924495
2022-01-31 05:00:00+00:00,43.87612538,43.87612538,43.24981519,43.77288818,9665598,0,0,2022-01-31 00:00:00-05:00,2022-01-31,니켈,BHP,-0.008882554,0.021122594,0.066441054
2022-02-01 05:00:00+00:00,44.03442835,44.78462505,43.93119114,44.75021362,10462293,0,0,2022-02-01 00:00:00-05:00,2022-02-01,니켈,BHP,0.022327187,0.021548763,0.049145481
2022-02-02 05:00:00+00:00,44.93603582,45.28016178,44.60567208,45.09433365,7991945,0,0,2022-02-02 00:00:00-05:00,2022-02-02,니켈,BHP,0.007689796,0.021376451,0.045938408
2022-02-03 05:00:00+00:00,45.78947354,45.79635465,45.04615799,45.24575424,12548474,0,0,2022-02-03 00:00:00-05:00,2022-02-03,니켈,BHP,0.003357863,0.021285559,0.00358056
2022-02-04 05:00:00+00:00,45.32146209,45.72064871,45.1769294,45.53482056,7541640,0,0,2022-02-04 00:00:00-05:00,2022-02-04,니켈,BHP,0.006388805,0.021292314,0.024387191
2022-02-07 05:00:00+00:00,46.51213622,47.39310039,46.15424508,47.11091614,7175857,0,0,2022-02-07 00:00:00-05:00,2022-02-07,니켈,BHP,0.034612974,0.021177585,0.024907387
2022-02-08 05:00:00+00:00,47.70970394,47.74411537,46.72549952,47.59958267,10837268,0,0,2022-02-08 00:00:00-05:00,2022-02-08,니켈,BHP,0.010372682,0.020571374,0.039550046
2022-02-09 05:00:00+00:00,47.09715842,47.50322617,46.63602708,47.42063522,10782787,0,0,2022-02-09 00:00:00-05:00,2022-02-09,니켈,BHP,-0.003759433,0.020275431,0.075969484
2022-02-10 05:00:00+00:00,48.00564312,48.82466551,47.91617107,48.13641357,8724070,0,0,2022-02-10 00:00:00-05:00,2022-02-10,니켈,BHP,0.015094238,0.018476994,0.107680876
2022-02-11 05:00:00+00:00,47.18662815,47.75787778,47.04209546,47.42751694,5950380,0,0,2022-02-11 00:00:00-05:00,2022-02-11,니켈,BHP,-0.014726827,0.018854941,0.120066933
2022-02-14 05:00:00+00:00,47.21415598,47.21415598,46.4777245,46.98014832,7391314,0,0,2022-02-14 00:00:00-05:00,2022-02-14,니켈,BHP,-0.009432681,0.01900081,0.121192462
2022-02-15 05:00:00+00:00,46.14736454,46.49837164,45.47975883,46.47084427,7712704,0,0,2022-02-15 00:00:00-05:00,2022-02-15,니켈,BHP,-0.010840835,0.019088817,0.058399661
2022-02-16 05:00:00+00:00,46.42266661,47.39998693,46.42266661,47.30363083,7078330,0,0,2022-02-16 00:00:00-05:00,2022-02-16,니켈,BHP,0.017920625,0.018249377,0.075178836
2022-02-17 05:00:00+00:00,46.90443735,47.18662157,46.51901593,46.74613953,6945156,0,0,2022-02-17 00:00:00-05:00,2022-02-17,니켈,BHP,-0.011785381,0.018390027,0.073819344
2022-02-18 05:00:00+00:00,47.74411123,47.87487875,47.21415709,47.72346497,6837540,0,0,2022-02-18 00:00:00-05:00,2022-02-18,니켈,BHP,0.020907083,0.01557983,0.04273019
2022-02-22 05:00:00+00:00,47.77164474,48.06759418,46.91132971,47.31051636,5094497,0,0,2022-02-22 00:00:00-05:00,2022-02-22,니켈,BHP,-0.008652947,0.015688716,-0.004105749
2022-02-23 05:00:00+00:00,47.96434453,48.05381951,47.26232748,47.32427216,5959012,0,0,2022-02-23 00:00:00-05:00,2022-02-23,니켈,BHP,0.000290756,0.0153343,0.02015757
2022-02-24 05:00:00+00:00,45.72664698,45.92095268,44.81269099,45.69786072,7321251,2.676182,0,2022-02-24 00:00:00-05:00,2022-02-24,니켈,BHP,-0.034367384,0.017471334,-0.003280525
2022-02-25 05:00:00+00:00,46.26638455,48.26701713,46.12245634,48.25981903,6325243,0,0,2022-02-25 00:00:00-05:00,2022-02-25,니켈,BHP,0.056062981,0.020950686,0.001622834
2022-02-28 05:00:00+00:00,48.19504871,48.98666459,48.15906435,48.78516388,4222247,0,0,2022-02-28 00:00:00-05:00,2022-02-28,니켈,BHP,0.010885761,0.019919817,0.004379431
2022-03-01 05:00:00+00:00,49.00106587,49.62716242,48.62684756,49.2961235,5324302,0,0,2022-03-01 00:00:00-05:00,2022-03-01,니켈,BHP,0.010473668,0.019669617,-0.004585225
2022-03-02 05:00:00+00:00,51.14562432,51.8005071,50.8505667,51.79331207,5833684,0,0,2022-03-02 00:00:00-05:00,2022-03-02,니켈,BHP,0.050656895,0.02180117,-0.026986299
2022-03-03 05:00:00+00:00,52.16752719,52.95195121,52.02360205,52.53455353,5664974,0,0,2022-03-03 00:00:00-05:00,2022-03-03,니켈,BHP,0.014311528,0.021853505,-0.002188157
2022-03-04 05:00:00+00:00,50.94412188,52.6353007,50.92972875,52.62091064,6274910,0,0,2022-03-04 00:00:00-05:00,2022-03-04,니켈,BHP,0.001643816,0.021875557,0.025828672
2022-03-07 05:00:00+00:00,52.32585536,52.70007058,51.5846138,52.10276031,7550271,0,0,2022-03-07 00:00:00-05:00,2022-03-07,니켈,BHP,-0.009846852,0.022229179,0.082938145
2022-03-08 05:00:00+00:00,50.07334188,50.87935095,49.69192857,50.06614685,8120076,0,0,2022-03-08 00:00:00-05:00,2022-03-08,니켈,BHP,-0.039088399,0.023482737,0.082330751
2022-03-09 05:00:00+00:00,49.48323698,50.51953318,49.20976748,50.2604599,10645016,0,0,2022-03-09 00:00:00-05:00,2022-03-09,니켈,BHP,0.003881127,0.023424711,0.062069844
2022-03-10 05:00:00+00:00,50.27485123,51.27516611,49.99418672,51.24637985,6092411,0,0,2022-03-10 00:00:00-05:00,2022-03-10,니켈,BHP,0.019616214,0.023652732,0.139606167
2022-03-11 05:00:00+00:00,49.23854992,50.10213157,49.18817551,49.33210373,5286972,0,0,2022-03-11 00:00:00-05:00,2022-03-11,니켈,BHP,-0.037354368,0.025230405,0.179569398
2022-03-14 04:00:00+00:00,48.21664103,48.37496545,46.80612668,47.12997055,7471689,0,0,2022-03-14 00:00:00-04:00,2022-03-14,니켈,BHP,-0.044638947,0.027064551,0.224143222
2022-03-15 04:00:00+00:00,46.02890331,46.64780481,45.60431059,46.61901855,5895563,0,0,2022-03-15 00:00:00-04:00,2022-03-15,니켈,BHP,-0.010841339,0.027092298,0.178635507
2022-03-16 04:00:00+00:00,47.10838166,48.19505527,47.00043472,48.10150146,5730776,0,0,2022-03-16 00:00:00-04:00,2022-03-16,니켈,BHP,0.03179996,0.027864265,0.136671618
2022-03-17 04:00:00+00:00,47.89280548,48.89312037,47.54737342,48.86433411,4270225,0,0,2022-03-17 00:00:00-04:00,2022-03-17,니켈,BHP,0.015858811,0.027806381,0.123837329
2022-03-18 04:00:00+00:00,49.49042433,49.59117623,48.69880839,49.51201248,4995176,0,0,2022-03-18 00:00:00-04:00,2022-03-18,니켈,BHP,0.013254624,0.027717038,0.079703954
2022-03-21 04:00:00+00:00,50.67785333,51.886867,50.64186896,51.55582809,6025263,0,0,2022-03-21 00:00:00-04:00,2022-03-21,니켈,BHP,0.041279187,0.028755269,0.093481532
2022-03-22 04:00:00+00:00,52.27547965,52.534556,50.82898084,51.11684036,6743712,0,0,2022-03-22 00:00:00-04:00,2022-03-22,니켈,BHP,-0.008514803,0.02875202,0.040295997
2022-03-23 04:00:00+00:00,51.53423618,52.52735906,51.41189612,52.50576782,4265181,0,0,2022-03-23 00:00:00-04:00,2022-03-23,니켈,BHP,0.027171622,0.029181388,0.037161829
2022-03-24 04:00:00+00:00,53.03110773,53.67160044,53.00232763,53.4485054,3983586,0,0,2022-03-24 00:00:00-04:00,2022-03-24,니켈,BHP,0.017954934,0.027717189,0.037032055
2022-03-25 04:00:00+00:00,53.42692721,54.25452764,53.42692721,54.21854019,3288454,0,0,2022-03-25 00:00:00-04:00,2022-03-25,니켈,BHP,0.014407041,0.025401896,0.033867067
2022-03-28 04:00:00+00:00,54.5423726,54.59994511,53.7003823,54.39844131,6250136,0,0,2022-03-28 00:00:00-04:00,2022-03-28,니켈,BHP,0.003318074,0.025383927,0.036361246
2022-03-29 04:00:00+00:00,53.43411792,54.52079461,52.87278893,54.42723465,4904599,0,0,2022-03-29 00:00:00-04:00,2022-03-29,니켈,BHP,0.000529304,0.025384278,-0.003328308
2022-03-30 04:00:00+00:00,55.77298568,56.54300734,55.7657845,56.21916962,4130661,0,0,2022-03-30 00:00:00-04:00,2022-03-30,니켈,BHP,0.032923498,0.023986717,-0.004530723
2022-03-31 04:00:00+00:00,56.33430635,56.66534524,55.54269349,55.59307098,2865612,0,0,2022-03-31 00:00:00-04:00,2022-03-31,니켈,BHP,-0.011136746,0.024107007,-0.098865137
2022-04-01 04:00:00+00:00,56.49983156,57.32743189,56.44225904,57.06835556,2776605,0,0,2022-04-01 00:00:00-04:00,2022-04-01,니켈,BHP,0.026537202,0.024663489,-0.136963811
2022-04-04 04:00:00+00:00,56.7013326,56.85245891,56.2479475,56.69413757,2530433,0,0,2022-04-04 00:00:00-04:00,2022-04-04,니켈,BHP,-0.006557364,0.024574601,-0.146151979
2022-04-05 04:00:00+00:00,56.31992464,56.62937234,55.44914791,55.54270172,3086337,0,0,2022-04-05 00:00:00-04:00,2022-04-05,니켈,BHP,-0.020309611,0.023137455,-0.169037793
